No;Pertanyaan;Pil1;Pil2;Pil3;Jawaban
204;Apa faktor utama yang menyebabkan stres menurut psikologi?;Tekanan lingkungan atau sosial;Kekurangan gizi;Kelelahan fisik;Tekanan lingkungan atau sosial
205;Apa nama gangguan yang ditandai dengan pikiran atau perilaku berulang yang tidak diinginkan?;OCD;PTSD;Skizofrenia;OCD
206;Apa teknik psikologi untuk mengubah pola pikir negatif menjadi positif?;Terapi kognitif-behavioral;Terapi psikoanalisis;Terapi hipnosis;Terapi kognitif-behavioral
207;Apa istilah untuk proses belajar melalui pengamatan orang lain?;Pembelajaran observasional;Kondisioning klasik;Kondisioning operan;Pembelajaran observasional
208;Apa nama hormon yang dilepaskan tubuh saat stres?;Kortisol;Adrenalin;Serotonin;Kortisol
209;Apa gangguan psikologis yang terkait dengan trauma setelah peristiwa mengerikan?;PTSD;Depresi;Fobia;PTSD
210;Apa manfaat utama latihan mindfulness untuk kesehatan mental?;Meningkatkan konsentrasi dan mengurangi stres;Meningkatkan kekuatan otot;Meningkatkan nafsu makan;Meningkatkan konsentrasi dan mengurangi stres
211;Apa istilah untuk kondisi ketika seseorang merasa terjebak dalam kenangan traumatis?;Flashback;Amnesia;Delusi;Flashback
212;Siapa psikolog yang mengembangkan teori kondisioning klasik dengan eksperimen anjing?;Ivan Pavlov;B.F. Skinner;Carl Jung;Ivan Pavlov
213;Apa nama gangguan psikologis yang ditandai dengan persepsi realitas yang terganggu?;Skizofrenia;Depresi;Gangguan kecemasan;Skizofrenia
214;Apa manfaat utama latihan pernapasan dalam untuk kesehatan mental?;Mengurangi kecemasan;Meningkatkan kekuatan fisik;Meningkatkan nafsu makan;Mengurangi kecemasan
215;Apa istilah untuk proses pengambilan keputusan berdasarkan pemikiran logis dan analitis?;Kognisi;Intuisi;Emosi;Kognisi
216;Apa nama hormon yang dikenal sebagai hormon kebahagiaan?;Serotonin;Adrenalin;Kortisol;Serotonin
217;Apa pendekatan psikologi yang berfokus pada potensi positif dan pertumbuhan pribadi?;Humanisme;Behaviorisme;Psikoanalisis;Humanisme
218;Apa nama gangguan yang menyebabkan seseorang sulit tidur secara kronis?;Insomnia;Sleep apnea;Narkolepsi;Insomnia
219;Apa teknik psikologi yang menggunakan sugesti untuk mengubah perilaku atau pikiran?;Hipnosis;Terapi seni;Meditasi;Hipnosis
220;Apa istilah untuk bias kognitif ketika seseorang cenderung mengingat informasi yang mendukung keyakinannya?;Bias konfirmasi;Efek halo;Bias atribusi;Bias konfirmasi
221;Apa nama gangguan yang ditandai dengan serangan panik mendadak?;Gangguan panik;Fobia sosial;Depresi;Gangguan panik
222;Apa manfaat utama jurnal emosi untuk kesehatan mental?;Meningkatkan kesadaran diri;Meningkatkan kekuatan otot;Meningkatkan penglihatan;Meningkatkan kesadaran diri
223;Apa bagian otak yang berperan dalam pengambilan keputusan dan perencanaan?;Korteks prefrontal;Hipokampus;Serebellum;Korteks prefrontal
224;Apa nama teori yang menjelaskan motivasi berdasarkan penghargaan dan hukuman?;Kondisioning operan;Kondisioning klasik;Teori kognitif;Kondisioning operan
225;Apa istilah untuk kondisi ketika seseorang merasa lelah secara emosional karena pekerjaan?;Burnout;Depresi;Stres;Burnout
226;Apa nama gangguan yang ditandai dengan obsesi terhadap kesempurnaan tubuh?;Gangguan dismorfik tubuh;Fobia sosial;Anoreksia nervosa;Gangguan dismorfik tubuh
227;Apa teknik psikologi untuk membantu seseorang menghadapi ketakutan dengan paparan bertahap?;Terapi paparan;Terapi kognitif;Hipnosis;Terapi paparan
228;Apa istilah untuk kemampuan beradaptasi dengan stres atau tantangan hidup?;Resiliensi;Kecerdasan emosional;Kognisi;Resiliensi
229;Apa nama gangguan yang menyebabkan seseorang tidur tiba-tiba tanpa kendali?;Narkolepsi;Insomnia;Sleep apnea;Narkolepsi
230;Apa manfaat utama interaksi sosial positif bagi kesehatan mental?;Meningkatkan rasa percaya diri dan kesejahteraan;Meningkatkan kekuatan fisik;Meningkatkan metabolisme;Meningkatkan rasa percaya diri dan kesejahteraan
